country,region,source,data_type,estimate_type,date,median_R_mean,median_R_highHPD,median_R_lowHPD,countryIso3
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-05,3.3578995984780464,4.225065399179474,2.589144369818241,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-06,3.714013755965946,4.540072338050365,2.9475753093930837,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-07,3.526474147382631,4.214403383681826,2.8956995668573233,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-08,3.3585869934859947,3.9405097361737558,2.8298233060064906,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-09,3.1120622913096425,3.5935722776364445,2.6747970146210798,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-10,2.906104017592883,3.304363071404405,2.5276994077430968,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-11,2.718860586350067,3.0528168309122172,2.404068288714873,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-12,2.532042879492542,2.8145103385970662,2.266451874829049,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-13,2.3724583949651272,2.6155799025082636,2.1394693988474653,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-14,2.21215415120006,2.4237540997731495,2.0101041910105244,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-15,2.0620223181701225,2.2467306658546486,1.886580967135076,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-16,1.9207155795679371,2.0802705848381606,1.7650258122823799,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-17,1.7914168091046092,1.933111656803736,1.6552863605107881,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-18,1.6766090025770601,1.8061402720314135,1.5534092714877599,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-19,1.5782576162026964,1.6958926091131106,1.465329992277139,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-20,1.4980716464243158,1.6062299613902562,1.3936373287817558,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-21,1.4281630432612962,1.5277367327171378,1.3320256683667682,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-22,1.369460221971477,1.4624730518094216,1.2794628103765018,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-23,1.3255294820102141,1.4133430578290036,1.2403064909184307,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-24,1.2934442010990521,1.3773125813113634,1.2118922583132048,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-25,1.2787126659005275,1.3590414014177166,1.2007983625675742,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-26,1.2920134828197636,1.3709980329836835,1.2156740949110525,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-27,1.3290105567790649,1.406515911547528,1.2534459933493902,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-28,1.383298773113567,1.460422554969403,1.308007384981507,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-29,1.438659988413486,1.5151485057925038,1.364126040589132,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-30,1.4867555475991765,1.5616806313419183,1.413647653823679,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-31,1.523730057408475,1.596903455023387,1.4521368275104474,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-01,1.5466314826559433,1.6165836429356,1.4774814509116403,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-02,1.5508856837201093,1.61850192873465,1.4849966490129096,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-03,1.5277606228895904,1.5915046048842534,1.4653019151745927,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-04,1.4795276347198305,1.5388894567327474,1.4207106402943663,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-05,1.4066441550774473,1.4619690682042668,1.3523719922921875,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-06,1.3247828852972148,1.376509146072289,1.2740338727892278,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-07,1.2381448290744028,1.2861981705926004,1.1909939970239731,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-08,1.1519161041338462,1.1968732301615093,1.1079306917220824,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-09,1.0693318644997043,1.111457992666417,1.0280325283486296,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-10,0.9939104149381555,1.034009224430204,0.9546733745731122,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-11,0.9285769747908184,0.9669969064277262,0.8911003262917987,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-12,0.877930085196306,0.9152258055686214,0.8413997396119797,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-13,0.8365334938072579,0.8731446680557078,0.8007314014080819,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-14,0.7994373484818789,0.8357758670795701,0.7640131017739941,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-15,0.7650301707981091,0.8007614598851669,0.7301034504145268,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-16,0.7390719755847619,0.775170026562853,0.7040328247864559,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-17,0.7241365477073947,0.760580446444091,0.6885464641491434,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-18,0.7185670026645568,0.7559847140701387,0.682042549605398,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-19,0.7191465319198351,0.7577170934270115,0.6815062032024294,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-20,0.7152473427441469,0.7551398268284537,0.6765489117232634,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-21,0.7054943105111242,0.7467088097451418,0.665434192162663,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-22,0.6910778920955675,0.7330015711402627,0.6499437431266321,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-23,0.6731542725032109,0.71670567868613,0.6317661921518419,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-24,0.6596084515831582,0.7036393196076005,0.6169367545199377,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-25,0.6510389450920332,0.6970453410746292,0.607116929703838,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-26,0.6479821858968977,0.6953523454547381,0.6020608698920167,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-27,0.6523277299788319,0.7019241911050179,0.6045243893231204,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-28,0.6602712500713802,0.7122857733353042,0.610202752237989,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-29,0.6747827163916378,0.7296984662864694,0.6219869327481834,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-30,0.6951226842674402,0.7533574772041561,0.6391995490649561,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-01,0.7230367237547183,0.7851209143908076,0.6626735682639909,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-02,0.7504490207205958,0.814889124091998,0.6880829788070686,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-03,0.7741730420529408,0.8425947770533063,0.708214668967718,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-04,0.7873978944759868,0.8588601327936997,0.7188849671636481,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-05,0.7868460555153621,0.8598989267114371,0.7169935371723696,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-06,0.7797707172668579,0.8552210857113044,0.7073582625254378,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-07,0.7660825667238284,0.8420565875497584,0.6939045730289497,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-08,0.7532932093206499,0.8313019038666865,0.6795429214218474,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-09,0.7394353704546603,0.8186675143664789,0.6644192633219828,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-10,0.719461393373394,0.8001749783620582,0.6434687132529722,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-11,0.6921994463324048,0.7732743951101987,0.6169372176470137,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-12,0.6582750690357233,0.7393700821566285,0.5816304863942151,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-13,0.6276148522752795,0.7092414978407301,0.5491774006848702,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-14,0.6046345806405776,0.6897066116819847,0.5254151351375154,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-15,0.5922801867867554,0.6792363820636148,0.5104133221438178,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-16,0.5895215343012961,0.6814420768254907,0.5041959507902544,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-17,0.6026592279437114,0.7014653249320177,0.5114761466816855,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-18,0.6282172865459716,0.7337765368974468,0.5300994846168045,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-19,0.6604310602857519,0.773933599194368,0.5549870927808469,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-20,0.6946510827790356,0.8188300005667684,0.5824304123106487,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-21,0.7239938045063776,0.8543549280260773,0.6023619378092911,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-22,0.7411621700931382,0.8796822770405093,0.6149821454956877,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-23,0.7487810233847462,0.8920821217033079,0.617736417219235,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-24,0.7432444296452524,0.8900943001357968,0.6094479294374432,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-25,0.7303987668767385,0.8787790528004596,0.5934299264720017,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-26,0.7118837620614578,0.865349647538673,0.5708303335419137,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-27,0.6894893302464297,0.8485091736500247,0.5498106692339244,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-28,0.6666635750465567,0.8256811128223825,0.5248351530202197,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-29,0.6393233286222003,0.801733371226158,0.49532105195994164,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-30,0.6105570217508859,0.77310948321662,0.4641209612226245,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-31,0.586333401237876,0.7562390820070244,0.43753439122942717,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-01,0.5737234523315141,0.7508276273312082,0.42097983779868015,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-02,0.5757205911156962,0.7655767058308964,0.4154877907219957,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-03,0.59911777079153306,0.7964209585865745,0.42640802523733634,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-04,0.6287850020921182,0.8450919344480833,0.4438401440477922,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-05,0.6736317805308546,0.9018443645487985,0.46876244593238575,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-06,0.7203301165104218,0.9772671755165565,0.5011546075420822,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-07,0.7615411061420946,1.0383418252735503,0.5283602452975872,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-08,0.8049611055722148,1.0967268239955246,0.5579989216370128,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-09,0.8346652454111498,1.1398132693083631,0.5724704657498308,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-10,0.8364818645408578,1.149466843192434,0.5741494783584004,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-11,0.822152209378708,1.133129547997377,0.5560486125202098,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-12,0.8014150114161677,1.1166501869868457,0.5326059224652455,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-13,0.7793499605568381,1.1020894497234421,0.5193121535408627,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-14,0.7761249464941133,1.1135647108656734,0.5043448562919084,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-15,0.7957384625422312,1.1407877976288718,0.5054935967232265,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-16,0.8282003162771167,1.1692530982590799,0.5313450773109254,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-17,0.8612549997289458,1.240137664289914,0.559645145866684,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-18,0.926099948685181,1.3245278245761725,0.5982507223880698,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-19,0.996983463101693,1.4229129712741277,0.6529022082379773,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-20,1.0656041745542972,1.506424834053394,0.7038563183803113,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-21,1.1334646362794512,1.5865376541804372,0.7529387147354957,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-22,1.1661441823866212,1.6166141405308159,0.7854844270336672,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-23,1.1792510088024304,1.6253205403178337,0.7986132170766315,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-24,1.1724236921545268,1.6141308827182346,0.7994901620347556,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-25,1.1621488535773972,1.589722390790541,0.7981663106573125,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-26,1.1378831086899752,1.5581262177759017,0.7876454212815617,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-27,1.1372358070339843,1.5493621075388764,0.7876318071178777,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-28,1.1577855069959686,1.5684858708732,0.8060805124440505,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-29,1.1924598083314697,1.5965059271514837,0.8389525148709857,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-30,1.224363504976059,1.6346597716932123,0.8831482027330029,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-07-01,1.2562206507646825,1.667484563047753,0.9217170600400906,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-07-02,1.2965102597249545,1.6883450238189879,0.9504601918290222,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-07-03,1.313841443782253,1.708483322597589,0.9723287831735614,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-07-04,1.3288943894640728,1.716596355910579,0.9870420222840515,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-07-05,1.3139448310868742,1.6969890349906025,0.9930962955676511,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-07-06,1.295873335761105,1.6495521846423262,0.9886767164466342,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-07-07,1.2520959667171832,1.583559504547836,0.9490681530756035,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-07-08,1.1864122159420871,1.5128314950513977,0.905915552747147,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-07-09,1.1266930066549834,1.4288808639486252,0.8534862626881833,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-07-10,1.0634293963004053,1.3528585595051084,0.8079006345601109,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-07-11,1.0074528147268624,1.291202716040919,0.7583245985100322,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-07-12,0.9620118462738736,1.2310222148640901,0.7204812373401087,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-07-13,0.9317752269425149,1.1902516768474933,0.6938954868501939,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-07-14,0.9184060081374511,1.1855282046410787,0.6867121955177791,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-07-15,0.9361564699572457,1.204925616537074,0.6980387230471221,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-07-16,0.9803643353509496,1.267793239417788,0.7327102957416417,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-07-17,1.0562815536788446,1.3528219818718807,0.7959956217725321,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-07-18,1.1719298136689043,1.4824543452215124,0.8974643323444735,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-07-19,1.2924170545354456,1.6125336314604803,1.006002779445055,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-07-20,1.4056583235190965,1.7393377004607486,1.1005208366790113,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-07-21,1.5021672900331482,1.8328389091234145,1.2010784122607496,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-07-22,1.5617765448514653,1.8922666566582906,1.2634458378777509,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-07-23,1.6152779164089137,1.9299914383302883,1.325455322687138,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-07-24,1.6684228761068725,1.984396990659668,1.3907837265525211,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-07-25,1.7290502366150484,2.0181262329040157,1.4612794604464285,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-07-26,1.7462591480038407,2.027429848360652,1.4857557477595955,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-07-27,1.7121421184321408,1.9714129487410683,1.472828737195596,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-07-28,1.6514171717111201,1.8878604722864416,1.4249901737255897,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-07-29,1.5613023484893453,1.7825543185508863,1.356342178176012,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-07-30,1.4590375789746148,1.659754274894947,1.2711519330224328,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-07-31,1.3726403343407996,1.5554460355447626,1.196976855130685,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-08-01,1.3133890915629267,1.4880141707420145,1.1497307448241627,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-08-02,1.2777114712710744,1.4427233643053015,1.122374150763622,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-08-03,1.25218389612356,1.412222645217497,1.104101056773005,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-08-04,1.2245001911858457,1.3772178708113854,1.0794345973159645,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-08-05,1.1855558417446574,1.3337196879958957,1.0480057232174615,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-08-06,1.1517055808394796,1.2929717747527003,1.019580825358906,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-08-07,1.1301888101953992,1.266394067711598,1.0009460486442947,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-08-08,1.1209999490747495,1.2568311720658452,0.9906947090841834,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-08-09,1.1270287085434199,1.2633506500532758,0.9996101142983935,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-08-10,1.1455241076719065,1.2783645388409608,1.0174148294532233,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-08-11,1.1556526969745284,1.2867414023810229,1.0302413630545406,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-08-12,1.1540211962811298,1.2832156250669366,1.0319847461854401,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-08-13,1.143923801994252,1.270198522321412,1.0240558072251045,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-08-14,1.1271246875351593,1.2514474880494222,1.0096400569588582,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-08-15,1.1093284262462129,1.231469893748555,0.9945335062627135,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-08-16,1.0898679963433398,1.2084748504690523,0.9765024803965235,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-08-17,1.0619817312374085,1.1780769544885559,0.9525889086827068,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-08-18,1.0369166101670249,1.1491797234521566,0.9299104586250969,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-08-19,1.0124268839643045,1.1230279125004035,0.9074847463743114,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-08-20,0.9968540423178206,1.1073164483933928,0.893451923634099,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-08-21,0.9881093402768651,1.0957276832455976,0.8859814605797831,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-08-22,0.9911840353590614,1.099715732757081,0.8860170145367722,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-08-23,1.0010683298226992,1.1114511377255936,0.896256861342037,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-08-24,1.0176478576252526,1.128887853157204,0.91192025301009,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-08-25,1.0420532156956661,1.1542023159722414,0.935203669793879,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-08-26,1.0730107991968203,1.187225573893223,0.9643195889500982,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-08-27,1.1120531930704245,1.2253080448369276,1.002281533738118,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-08-28,1.1559063477871923,1.2719567943280172,1.0447776303450522,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-08-29,1.2001762954192468,1.3169686130614888,1.0881394658603751,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-08-30,1.2419124638286858,1.358901428027872,1.1295698628617206,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-08-31,1.274332397096994,1.3910024475848932,1.1626745594259282,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-09-01,1.3006997335777655,1.4155624668750133,1.1906057638567689,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-09-02,1.322602239756224,1.435841927646473,1.2138521888193066,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-09-03,1.3378031265087338,1.447246424905923,1.2312187712711933,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-09-04,1.338937319891785,1.446168072138652,1.2364576117374166,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-09-05,1.3310522985256117,1.4342908247532855,1.2309022120406434,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-09-06,1.3154594106436817,1.4145342421955716,1.218031518600401,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-09-07,1.290834051998627,1.3871312470133923,1.1979552229087416,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-09-08,1.2670643959137757,1.3607596955535968,1.176746542525462,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-09-09,1.2435805542471805,1.3317142564086621,1.157738446624611,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-09-10,1.214412312714715,1.3010159197909115,1.1328441140743721,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-09-11,1.1900730477140005,1.2728564503075752,1.1099386299013518,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-09-12,1.1632483952172696,1.2427289080574742,1.0864751686755691,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-09-13,1.1433221970638996,1.2205568132489146,1.0681051747895782,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-09-14,1.1282586411342563,1.2037594210424445,1.055170589177856,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-09-15,1.120851020028175,1.1951618506591157,1.047505201402408,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-09-16,1.1217497236393028,1.1957242606103657,1.050105851582542,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-09-17,1.1261491781502257,1.19928734483129,1.0556038768274378,IRL
Ireland,IRL,ECDC,Confirmed cases,Cori_slidingWindow,2020-09-18,1.1408887686294598,1.2134382430638062,1.0704622978967944,IRL
