country,region,source,data_type,estimate_type,date,median_R_mean,median_R_highHPD,median_R_lowHPD,countryIso3
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-03-10,2.344730531775429,4.780593488754727,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-03-11,2.1897928399555573,5.041346795499184,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-03-12,2.0712745396589005,5.4208533427419,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-03-13,1.9737722664910802,5.855265854049437,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-03-14,1.8990791343910762,5.691255369753866,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-03-15,1.8492863860319966,4.834899206690077,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-03-16,1.8159847649461176,4.0512153856984,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-03-17,1.7745434574631014,3.837706577891506,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-03-18,1.7116401594253356,3.8414563125335865,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-03-19,1.6366815120739502,3.968354770059543,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-03-20,1.5663769234710523,4.234145635448969,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-03-21,1.5039645882882502,4.262091901139844,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-03-22,1.4405250509121403,3.84699868893474,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-03-23,1.3692320557265136,3.278348249163038,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-03-24,1.2962399818746837,2.9375809503089387,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-03-25,1.2291313029375106,2.8673128251317426,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-03-26,1.1700909354315039,2.9178457061667125,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-03-27,1.115511666557908,3.058086392913122,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-03-28,1.0629653160188317,3.190038790142022,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-03-29,1.0152350123633629,3.0684450272394446,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-03-30,0.9772890631306219,2.6793322899277303,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-03-31,0.9516945590105268,2.3307546988226013,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-04-01,0.9372167353956883,2.208229568319047,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-04-02,0.9288012349960048,2.205103935470564,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-04-03,0.9195972946737827,2.2334276820851953,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-04-04,0.9055558923926279,2.278432081322369,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-04-05,0.8863390142421338,2.3153255422802936,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-04-06,0.8654928583875514,2.3764029752959734,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-04-07,0.8470447243538933,2.3844227729158294,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-04-08,0.8333478958671967,2.2858921335938063,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-04-09,0.8270467838776314,2.27761087353227,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-04-10,0.8322347907872895,2.5489771680395164,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-04-11,0.8528056240546267,2.9991218753811997,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-04-12,0.8884067221006342,3.1421854065482213,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-04-13,0.9340045019617366,3.2517268912565926,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-04-14,0.9867817484902832,3.196543067899181,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-04-15,1.0487441039499052,3.555905788576342,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-04-16,1.1165809110018698,4.0736207385343075,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-04-17,1.17592856959613,3.8072884150500297,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-04-18,1.2109541733051346,5.258455560795806,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-04-19,1.217959104527894,5.753395184158215,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-04-20,1.2059011714863004,4.652920808412512,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-04-21,1.1800598203177162,4.7256577470399534,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-04-22,1.1392868496762194,4.348501127694987,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-04-23,1.0827584186209398,3.967415044964271,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-04-24,1.0162345738153016,3.370639448703165,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-04-25,0.9479471770172072,2.961002357932456,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-04-26,0.8828952276589601,2.650993742963541,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-04-27,0.8236514558308008,2.3548492871834554,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-04-28,0.7744252821139599,2.131158883544855,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-04-29,0.7389646140239063,2.553593910664464,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-04-30,0.7178699057367898,3.203626746481579,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-05-01,0.7084656489231947,3.096731713893986,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-05-02,0.7078387219416227,2.8130444468853093,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-05-03,0.7116986620660442,2.6433371252571374,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-05-04,0.7163280277700499,2.4581305879663016,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-05-05,0.72160126023473,2.2792188703799066,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-05-06,0.7306821926330286,2.805181724775476,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-05-07,0.7445980256933149,3.4123787984812575,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-05-08,0.7594643190318291,3.135278853338325,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-05-09,0.7687409502841681,2.6711056593035885,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-05-10,0.7717015663388225,2.4928514815103906,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-05-11,0.7730778385969679,2.518940799959583,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-05-12,0.7785307906412707,2.960034432062545,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-05-13,0.7897728935493675,3.76179566435332,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-05-14,0.8053922067771524,3.6907661383324477,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-05-15,0.82593795967441,3.0306148171348863,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-05-16,0.8532494622520231,2.7566639664846773,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-05-17,0.8868639619669721,2.8434973529913274,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-05-18,0.924510195070408,3.02260201245969,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-05-19,0.9640209596843454,3.3585387870345067,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-05-20,1.00711520896469,4.136505405094894,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-05-21,1.057572617590954,5.374743499708606,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-05-22,1.116198891000136,4.700008865735252,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-05-23,1.178541785322842,4.027208647634083,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-05-24,1.2443131561145104,3.4760194794870687,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-05-25,1.3193482069057185,3.3639751607273305,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-05-26,1.4068841858315198,3.57363368147156,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-05-27,1.4875765958112028,3.6768727382232473,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-05-28,1.536661911081408,3.7699118721870644,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-05-29,1.553093541997233,3.9212695215773326,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-05-30,1.5554633312790715,3.878143498939558,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-05-31,1.5549665724191475,3.665027718833431,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-06-01,1.5464594241814318,3.4791446736136904,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-06-02,1.5209127860871794,3.538701023508384,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-06-03,1.4782545235413136,3.6487105938040263,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-06-04,1.423943989213424,3.791446173771326,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-06-05,1.3667729897702483,3.904521690647978,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-06-06,1.3218714221956107,3.734165591742117,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-06-07,1.30177861840939,3.397823547577079,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-06-08,1.3080876306933549,3.1348162443018657,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-06-09,1.3257895560720347,3.084948631253722,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-06-10,1.3374499746001074,3.27889183922765,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-06-11,1.3379566868188755,3.420672583890048,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-06-12,1.3352893749479913,3.362369600525708,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-06-13,1.3433724959705846,3.191221027006921,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-06-14,1.3683118311603333,3.0123902615965665,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-06-15,1.4040871747105992,2.9625814201464946,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-06-16,1.4305733419100142,3.2070988675099965,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-06-17,1.4305357900154796,3.432589396177448,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-06-18,1.402423766705709,3.3672166507399153,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-06-19,1.3602401108102569,3.2356289218934995,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-06-20,1.325358281051346,3.2053884646341215,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-06-21,1.310225072450993,3.182769359160667,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-06-22,1.313236604181377,3.149898507859477,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-06-23,1.3223932528133882,3.258163756093335,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-06-24,1.327310774096261,3.5545795565424734,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-06-25,1.3246474142020823,3.9982605703369902,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-06-26,1.3148194324771252,4.149107036063076,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-06-27,1.2934219320276998,3.9702116651467603,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-06-28,1.2578348142206481,3.7476941021379018,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-06-29,1.213810626169758,3.405158695874425,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-06-30,1.1750740463825087,3.1948771988688236,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-07-01,1.149581289640358,3.3452428891159016,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-07-02,1.1329084947991759,3.4780502556688164,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-07-03,1.112453648061782,3.4252970633211066,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-07-04,1.0826492427210614,3.3139421279466577,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-07-05,1.049809424684151,3.1246689996935144,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-07-06,1.025944664707854,2.914625175722884,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-07-07,1.0167623430549522,2.7859703877215325,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-07-08,1.0176657507584004,2.824174353183174,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-07-09,1.0226136526681695,3.0496187682337625,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-07-10,1.02911619384642,3.0669135520398596,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-07-11,1.0413318800843692,2.9321274134517017,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-07-12,1.0628469386455277,2.7670983864568717,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-07-13,1.0918644218382398,2.5825920983439756,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-07-14,1.1195404927493249,2.4907610296261655,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-07-15,1.1372644395242797,2.534261307026892,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-07-16,1.1426181885564213,2.6304075456966123,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-07-17,1.1390177128595618,2.645984617363143,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-07-18,1.1290567288556035,2.7245676602233564,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-07-19,1.1133573275831414,2.7422758579546542,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-07-20,1.0930779796170325,2.655237237268655,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-07-21,1.0710156754106803,2.8460368666965783,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-07-22,1.0477110600165758,3.8548907513942114,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-07-23,1.0186867884339343,4.838125683775726,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-07-24,0.9834086236805109,5.437810248808316,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-07-25,0.9494125430129073,7.061414342636887,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-07-26,0.9255447961315149,4.526559331360221,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-07-27,0.9147418934336523,3.0898248000595063,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-07-28,0.9136480232025511,3.4063642743374976,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-07-29,0.9194900014758203,4.673049436761381,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-07-30,0.9302147926607703,4.943911195100138,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-07-31,0.9416598961845378,5.111675759730938,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-08-01,0.9499097435442456,4.409513340963388,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-08-02,0.9550850442093983,3.39619033529401,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-08-03,0.9639171052236334,2.79109291745356,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-08-04,0.9822058293446774,2.650949815873366,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-08-05,1.0078501319258915,2.9512396435980914,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-08-06,1.0302118653742258,3.3094097459775593,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-08-07,1.037281504650085,3.548659084129471,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-08-08,1.0269536351627695,3.441586782711819,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-08-09,1.0100796310164672,3.1338064050876953,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-08-10,1.00197947000761,3.024763583408453,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-08-11,1.0078359201918758,3.1291661177229253,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-08-12,1.0224550638021215,3.3362064620492893,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-08-13,1.0362749509332854,3.305163710295183,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-08-14,1.0430594334607133,3.376284895320338,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-08-15,1.040525824591447,3.1452743747755534,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-08-16,1.0306964518064259,2.7312010458245473,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-08-17,1.0179896990577426,2.576418777570371,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-08-18,1.006131335996796,2.7269244420429892,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-08-19,0.9977590339641088,3.3654996395568784,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-08-20,0.992720623399648,4.091895220354531,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-08-21,0.9878280515429628,4.0675452756937345,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-08-22,0.9786186608002906,3.5396184500548884,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-08-23,0.9648130522950669,2.9807889596582764,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-08-24,0.9514425353064724,2.586492349805693,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-08-25,0.9439286509828404,2.40417487388228,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-08-26,0.9445056152202995,2.642438062641162,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-08-27,0.9521606148657669,3.0702372515261955,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-08-28,0.9655268930230753,3.0673531682441855,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-08-29,0.9827800924257222,2.750727705905925,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-08-30,1.0012289659186526,2.5608695249274414,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-08-31,1.0187738135906177,2.544678031632264,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-09-01,1.03539361248584,2.668313106976052,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-09-02,1.053437068570059,2.8283923699399773,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-09-03,1.0716391207959604,2.817137421005458,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-09-04,1.0834304226885851,2.963946929022285,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-09-05,1.0816146177221078,3.2085825065278617,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-09-06,1.065241554157096,3.337295252009245,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-09-07,1.0398938379404798,3.455837959151148,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-09-08,1.0109495363809704,3.245410320910187,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-09-09,0.9810554544333718,2.864341548478948,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-09-10,0.9508789781365015,2.6668188278751606,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-09-11,0.9208329592200623,3.33808988857128,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-09-12,0.8908121911371225,4.133677753210525,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-09-13,0.8619716150942482,3.3360533539230888,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-09-14,0.8374811827816083,2.552929478950021,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-09-15,0.821300218468507,2.3359556626933675,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-09-16,0.8160062284663373,3.0396026957321562,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-09-17,0.8210806595517484,3.4802676542645825,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-09-18,0.8340890361328471,3.0713669179811576,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-09-19,0.8535071075553398,3.358648220495692,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-09-20,0.8815294503016675,3.156731789590273,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-09-21,0.9227393536562635,2.6824270783585695,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-09-22,0.9802686165568663,2.858196121235469,0,BIH
Bosnia and Herzegovina,BIH,OWID,Confirmed cases,Cori_slidingWindow,2020-09-23,1.050270186207563,4.096640232586473,0,BIH
