country,region,source,data_type,estimate_type,date,median_R_mean,median_R_highHPD,median_R_lowHPD,countryIso3
Andorra,AND,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-11,2.61338262190846,3.3858309556843595,1.9399403108612474,AND
Andorra,AND,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-12,2.4674875110511456,3.17547507380085,1.8580775376790386,AND
Andorra,AND,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-13,2.2628275764456602,2.8451776086460017,1.740003725410292,AND
Andorra,AND,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-14,2.061228304352019,2.573667920788717,1.6202724833123279,AND
Andorra,AND,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-15,1.8884664480715407,2.328785844361751,1.4937986734573228,AND
Andorra,AND,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-16,1.7067193414474815,2.0892478881825323,1.3594402818856905,AND
Andorra,AND,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-17,1.562400894608861,1.9091034078993852,1.2467284235263796,AND
Andorra,AND,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-18,1.3919820300133934,1.6995119105652665,1.1216057887663646,AND
Andorra,AND,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-19,1.2909011183411865,1.566620032574989,1.0391139436806807,AND
Andorra,AND,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-20,1.1897354840875187,1.450292488340272,0.9620233909525511,AND
Andorra,AND,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-21,1.1295987732852832,1.3763669541803965,0.9078316571481957,AND
Andorra,AND,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-22,1.070789602213263,1.30328637200412,0.8620045405243667,AND
Andorra,AND,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-23,1.0137877161213056,1.2351916443494613,0.8118570337598763,AND
Andorra,AND,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-24,0.9582240490367736,1.1702141721925314,0.7621172041869844,AND
Andorra,AND,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-25,0.9076098373008794,1.119301263972364,0.7206646987785804,AND
Andorra,AND,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-26,0.8693225799528829,1.0715639555671126,0.6842088884077958,AND
Andorra,AND,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-27,0.8371830333361427,1.0406118144105645,0.6553576104528266,AND
Andorra,AND,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-28,0.8211519263080247,1.0270449199241138,0.6384466878745982,AND
Andorra,AND,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-29,0.8145797572906182,1.0214834677902378,0.6286196485290108,AND
Andorra,AND,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-30,0.8056742797059677,1.015607579869315,0.6184664087910746,AND
Andorra,AND,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-31,0.7886719526952329,1.0027598684578534,0.6012817702823342,AND
Andorra,AND,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-01,0.7725270817139916,0.9950966238559971,0.5837427033255455,AND
Andorra,AND,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-02,0.7628809917665272,0.9863275519038555,0.5654379107894414,AND
Andorra,AND,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-03,0.737111787073659,0.9617957394531526,0.5439913097718431,AND
Andorra,AND,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-04,0.7103755226687317,0.9418051900991489,0.5168463368466476,AND
Andorra,AND,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-05,0.6842118744090112,0.9131640784933706,0.49095741361173006,AND
Andorra,AND,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-06,0.6601656871319822,0.8897569079347847,0.46348655517941434,AND
Andorra,AND,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-07,0.6301257672968642,0.8681283707084766,0.4327914740376492,AND
Andorra,AND,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-08,0.6056739331607509,0.8435581377649541,0.4022195070152875,AND
Andorra,AND,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-09,0.5774083042004221,0.8270834232232529,0.37675764040664617,AND
Andorra,AND,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-10,0.5607663329445237,0.8145099705856217,0.35214300151334843,AND
Andorra,AND,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-11,0.5422532721542319,0.8136952160585573,0.3293597651324911,AND
Andorra,AND,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-12,0.5329289392939338,0.8132180925511656,0.3082351149609823,AND
Andorra,AND,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-13,0.5138130480195413,0.8034357626689448,0.28572112926181864,AND
Andorra,AND,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-14,0.4871010972934588,0.7961037462364818,0.2587080435306539,AND
Andorra,AND,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-15,0.464015173525669,0.8027162110457806,0.22340494031556116,AND
Andorra,AND,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-16,0.4553393273526025,0.81380911096629,0.20549802942754786,AND
Andorra,AND,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-17,0.46029295261944525,0.8317846707569149,0.19215450921087326,AND
Andorra,AND,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-18,0.4605850854697707,0.866601189206839,0.18054523776014786,AND
Andorra,AND,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-19,0.4711473280694713,0.9071699123287805,0.1713623871900968,AND
Andorra,AND,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-20,0.48925170004666346,0.9582512943211469,0.16311297062097735,AND
Andorra,AND,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-21,0.4888460822364779,1.006058022313973,0.1530963748602285,AND
Andorra,AND,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-22,0.49525490406197636,1.0798754326344366,0.14146933834146944,AND
Andorra,AND,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-23,0.5121421741436467,1.177785489985788,0.1273748861701529,AND
Andorra,AND,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-24,0.5174544760470506,1.2488050148198067,0.11725564474675688,AND
Andorra,AND,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-25,0.5364494523797194,1.310587458250653,0.10853088085055199,AND
Andorra,AND,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-26,0.56200001248706,1.4099617503604283,0.10883335904270076,AND
Andorra,AND,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-27,0.6116098214668075,1.5821003136250726,0.11171706226586206,AND
Andorra,AND,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-28,0.7004720919235793,1.7482149610939655,0.1203914658454482,AND
Andorra,AND,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-29,0.7767856320228644,2.0128624766230194,0.14059695496004967,AND
Andorra,AND,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-30,0.8494522572569778,2.223347054229793,0.14748510208441765,AND
Andorra,AND,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-01,0.8982253771720373,2.2863222310075497,0.15235378265241467,AND
Andorra,AND,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-02,0.8907125776943883,2.31899728129863,0.14655314679147688,AND
Andorra,AND,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-03,0.8754098722590182,2.2860845657388897,0.13631703100151787,AND
Andorra,AND,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-04,0.8563577823178109,2.316882449253828,0.12291370300138092,AND
Andorra,AND,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-05,0.8145247069909253,2.270035703316701,0.10577059912177979,AND
Andorra,AND,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-06,0.7471492822287236,2.1414626718233007,0.07788104760640398,AND
Andorra,AND,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-07,0.6729501284165088,1.971717917868607,0.05027753374299369,AND
Andorra,AND,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-08,0.5917609932192703,1.8661312859797783,0.03365873136717445,AND
Andorra,AND,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-09,0.5335442227524513,1.818893763999012,0.019341955580428862,AND
Andorra,AND,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-10,0.47300120880289537,1.7662150096030809,0.009078628981836713,AND
Andorra,AND,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-11,0.42191661388947793,1.75368599451287,0.002611794192914008,AND
Andorra,AND,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-12,0.3779270851775183,1.7758181415859777,8.980851521241185e-4,AND
Andorra,AND,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-13,0.3577391605027778,1.8742059826236943,2.8559039337507005e-4,AND
Andorra,AND,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-14,0.4669146447971188,2.2610854872278394,6.564965012808966e-4,AND
Andorra,AND,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-15,0.9282164911224569,3.483364712539358,0.01435568527177885,AND
Andorra,AND,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-16,2.0474543374770424,6.178135466409654,0.19650944704931764,AND
Andorra,AND,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-17,4.103157169997339,9.833278990090593,0.9078964870316948,AND
Andorra,AND,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-18,6.304335731205201,12.536235102207334,2.192654587504559,AND
Andorra,AND,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-19,6.932641117772966,12.155610848194257,3.1338935355003326,AND
Andorra,AND,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-20,6.084674617589995,9.80395051889742,3.2338023822350888,AND
Andorra,AND,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-21,5.066640499524653,7.6622397182511115,2.9570747973349882,AND
Andorra,AND,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-22,4.091299182087105,5.953459466109499,2.5770764686491208,AND
Andorra,AND,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-23,3.2206678527345085,4.550746299948693,2.1113008698190052,AND
Andorra,AND,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-24,2.4420394480054575,3.4475589548822327,1.6170305002981136,AND
Andorra,AND,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-25,1.857189386921917,2.6146570777656826,1.232349824439076,AND
Andorra,AND,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-26,1.4467865023153734,2.0524444817258662,0.9506287647268103,AND
Andorra,AND,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-27,1.1643251137073989,1.6741957292413359,0.7500653694880312,AND
Andorra,AND,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-28,0.9667669963014309,1.413749448804618,0.6075226313662188,AND
Andorra,AND,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-29,0.7799108701360749,1.1765624139281508,0.4705109868447137,AND
Andorra,AND,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-30,0.5821986505378147,0.9221453796375918,0.32171090640041533,AND
Andorra,AND,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-31,0.39008321274314567,0.6785485340192777,0.1807302167148339,AND
Andorra,AND,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-01,0.23026190443807046,0.4749350349061398,0.07532161263261722,AND
Andorra,AND,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-02,0.12500188592483402,0.3314760493707209,0.01960195815421605,AND
Andorra,AND,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-03,0.07076307433904261,0.2494413496710769,0.0023999266232196483,AND
Andorra,AND,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-04,0.047088430474233604,0.2214338555914351,1.3386221366784484e-4,AND
Andorra,AND,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-05,0.04957231300865616,0.25367904254017665,1.6963021954254163e-5,AND
Andorra,AND,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-06,0.056367362381555444,0.32105979054397715,1.430464419999811e-6,AND
Andorra,AND,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-07,0.07501018400040019,0.44861083120550177,8.03759008794372e-7,AND
Andorra,AND,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-08,0.10871059141200361,0.6738623762698732,2.5344892780305617e-6,AND
Andorra,AND,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-09,0.14933801944798072,0.9504691282274204,2.5977120748213485e-6,AND
Andorra,AND,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-10,0.19959442010012612,1.3618561182378983,9.674300223081837e-7,AND
Andorra,AND,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-11,0.2606631363511479,1.850034766715864,3.0559751823586716e-7,AND
Andorra,AND,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-12,0.32089782533207895,2.277893451767784,4.763059459322026e-8,AND
Andorra,AND,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-13,0.3702692171283487,2.7242535346674543,1.9530247344126737e-9,AND
Andorra,AND,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-14,0.39211766808476173,3.110988449513616,7.90960574344861e-12,AND
Andorra,AND,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-15,0.3983535991579211,3.424071979209744,9.862566889835744e-15,AND
Andorra,AND,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-16,0.3614244902083569,3.662590846502574,4.313514063795673e-19,AND
Andorra,AND,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-17,0.31548110864057305,3.1985015328201474,1.2064230244744502e-25,AND
Andorra,AND,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-18,0.2863117940376299,3.2449967381727385,2.697555205388036e-32,AND
Andorra,AND,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-19,0.30140813259522536,3.4442177273909587,6.728997682809344e-37,AND
Andorra,AND,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-20,0.35059899403002204,4.014563567937649,2.030544102495496e-39,AND
Andorra,AND,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-21,0.4330028071880488,4.957503289987887,1.2188109920107215e-39,AND
Andorra,AND,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-22,0.5406702367306588,6.190342113178384,7.74971424539496e-40,AND
Andorra,AND,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-23,0.6450300704621564,7.385029942931786,1.3357118584812845e-39,AND
Andorra,AND,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-24,0.7650865328357708,8.76112009380496,1.9751066669314723e-38,AND
Andorra,AND,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-25,0.9712352330483974,11.116635153113528,9.181128659213974e-34,AND
Andorra,AND,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-26,1.291808876650321,13.895020751949327,1.540647590998647e-26,AND
Andorra,AND,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-27,2.181316943604735,21.269245026057654,1.4396942245543066e-15,AND
Andorra,AND,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-28,4.665482305308515,33.79125094583799,7.410745188096526e-7,AND
Andorra,AND,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-29,8.56159259618831,42.8345338319152,0.007123184536191854,AND
Andorra,AND,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-30,11.307285138121731,42.4725258318817,0.29284207120058187,AND
Andorra,AND,ECDC,Confirmed cases,Cori_slidingWindow,2020-07-01,10.661417098383055,32.464721584176786,1.0121183252646997,AND
Andorra,AND,ECDC,Confirmed cases,Cori_slidingWindow,2020-07-02,8.567732878160092,21.950029751681637,1.5321456135403744,AND
Andorra,AND,ECDC,Confirmed cases,Cori_slidingWindow,2020-07-03,6.513463384300127,14.271936958365592,1.6516883616480313,AND
Andorra,AND,ECDC,Confirmed cases,Cori_slidingWindow,2020-07-04,5.007232405938719,10.000716142119096,1.5531648139796557,AND
Andorra,AND,ECDC,Confirmed cases,Cori_slidingWindow,2020-07-05,3.8928972098671752,7.412827769304357,1.4017832384887883,AND
Andorra,AND,ECDC,Confirmed cases,Cori_slidingWindow,2020-07-06,3.0474755487615535,5.6803523107924185,1.2730496771605215,AND
Andorra,AND,ECDC,Confirmed cases,Cori_slidingWindow,2020-07-07,2.493869461321729,4.4462251809553,1.097687978381022,AND
Andorra,AND,ECDC,Confirmed cases,Cori_slidingWindow,2020-07-08,2.0476222433530524,3.538760958418278,0.9271025279258455,AND
Andorra,AND,ECDC,Confirmed cases,Cori_slidingWindow,2020-07-09,1.7177976980742906,2.9820036740455738,0.7916573810550572,AND
Andorra,AND,ECDC,Confirmed cases,Cori_slidingWindow,2020-07-10,1.4655858944418143,2.5464409362443017,0.6833935962816303,AND
Andorra,AND,ECDC,Confirmed cases,Cori_slidingWindow,2020-07-11,1.2974687897096173,2.2547765352976525,0.6162328931713905,AND
Andorra,AND,ECDC,Confirmed cases,Cori_slidingWindow,2020-07-12,1.2113439674528175,2.093064300532288,0.5724855420608822,AND
Andorra,AND,ECDC,Confirmed cases,Cori_slidingWindow,2020-07-13,1.1270650530773603,1.962814920699883,0.5357149019694042,AND
Andorra,AND,ECDC,Confirmed cases,Cori_slidingWindow,2020-07-14,1.0839948063816953,1.8715235027466093,0.5037635323043914,AND
Andorra,AND,ECDC,Confirmed cases,Cori_slidingWindow,2020-07-15,1.0583559024712583,1.8306553977273046,0.49858252715758533,AND
