country,region,source,data_type,estimate_type,date,median_R_mean,median_R_highHPD,median_R_lowHPD,countryIso3
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-02-19,6.030821966271516,9.675891335050503,3.239050319949716,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-02-20,6.172963877629226,9.073309506294656,3.8252917255746293,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-02-21,5.838488888321582,8.037677562315608,3.9868886247988704,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-02-22,5.391566020543485,7.043551642816457,3.9577817346252746,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-02-23,5.0743210615941425,6.34135153397266,3.9468026671654894,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-02-24,4.847861951297152,5.840565360488384,3.9464829130597985,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-02-25,4.584323873230447,5.366677841237434,3.862831040499711,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-02-26,4.383704543938294,5.0087271538612335,3.799803765908342,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-02-27,4.342190363797329,4.854512613469525,3.8580678782999214,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-02-28,4.393514316796682,4.820763357186805,3.9858307499470333,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-02-29,4.388769456855443,4.824231611676961,3.953307302033925,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-03-01,4.273803788315463,4.706535633390233,3.841071943240692,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-03-02,4.086101851186793,4.459086034163659,3.7131176682099283,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-03-03,3.859572856037376,4.16421142159053,3.5549342904842223,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-03-04,3.6100467251352906,3.882949108595387,3.3371443416751942,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-03-05,3.3653554767743454,3.6260741409189516,3.1046368126297392,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-03-06,3.152088986084818,3.399654759620111,2.9045232125495244,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-03-07,2.9739950795461576,3.2156149146931545,2.7323752443991607,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-03-08,2.8186104228371556,3.066872913873165,2.570347931801146,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-03-09,2.666669404450008,2.9093983921956412,2.4239404167043745,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-03-10,2.5114917377634107,2.726522246176573,2.2964612293502484,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-03-11,2.359670018088513,2.548167174227599,2.171172861949427,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-03-12,2.2217251108714526,2.39874778528753,2.0447024364553754,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-03-13,2.104028833217049,2.2825417003175796,1.9255159661165187,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-03-14,2.0018030461279963,2.1865705779607345,1.8170355142952581,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-03-15,1.905974212614336,2.0894165186228046,1.7225319066058675,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-03-16,1.8108657660814609,1.9810562716492892,1.6406752605136325,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-03-17,1.7160692491297478,1.8717216208081382,1.5604168774513574,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-03-18,1.6205380767046382,1.7655793026075122,1.4754968508017643,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-03-19,1.5215953492440644,1.6551079045497752,1.3880827939383535,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-03-20,1.419671686550029,1.538310674164122,1.301032698935936,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-03-21,1.3198266566042867,1.4256444052930333,1.21400890791554,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-03-22,1.2290182906239404,1.3297390360816836,1.1282975451661972,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-03-23,1.150101997332623,1.250220113872137,1.049983880793109,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-03-24,1.0816194933927035,1.1801423185145303,0.9830966682708767,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-03-25,1.0182768727685825,1.114188098525067,0.922365647012098,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-03-26,0.9571847806285106,1.0527583723910916,0.8616111888659298,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-03-27,0.9003905327360283,0.9978450161497177,0.802936049322339,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-03-28,0.8521871367230266,0.9508584080381516,0.7535158654079016,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-03-29,0.8154963012742015,0.9115265293599221,0.7194660731884809,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-03-30,0.7897196605530298,0.8789889455717971,0.7004503755342625,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-03-31,0.7730456409747404,0.8533405220004359,0.6927507599490449,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-04-01,0.7626015626225136,0.8341972358414749,0.6910058894035522,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-04-02,0.75541908141539,0.8194583358507208,0.6913798269800593,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-04-03,0.750296478731778,0.8084944486730937,0.6920985087904622,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-04-04,0.7477470204893989,0.8034772147027531,0.6920168262760447,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-04-05,0.7489604921330599,0.8068682414678412,0.6910527427982787,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-04-06,0.7542007765986354,0.8176498956026489,0.6907516575946219,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-04-07,0.7614787298349952,0.8317518999722516,0.6912055596977388,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-04-08,0.7679891300074811,0.8439261928030546,0.6920520672119077,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-04-09,0.7716558458990713,0.8496547219452002,0.6936569698529425,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-04-10,0.7729824864787277,0.8482883386636244,0.697676634293831,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-04-11,0.7744818158774645,0.8439998473801316,0.7049637843747973,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-04-12,0.7779760268001765,0.841249614578634,0.714702439021719,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-04-13,0.7834524276844396,0.8417635492865517,0.7251413060823274,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-04-14,0.78859921006261,0.8427980442367982,0.7344003758884219,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-04-15,0.790099748207145,0.8425536845088558,0.7376458119054342,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-04-16,0.7855257538969539,0.8423763376937331,0.7286751701001747,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-04-17,0.7748485019368557,0.8412184073145623,0.7084785965591491,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-04-18,0.7609552847432886,0.8357431556217746,0.6861674138648025,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-04-19,0.7474210481919016,0.8255557895826571,0.6692863068011461,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-04-20,0.736073323222341,0.8118146872032801,0.6603319592414019,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-04-21,0.7260990414199882,0.7950479430984536,0.6571501397415227,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-04-22,0.7142827569633287,0.7733519759029163,0.655213538023741,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-04-23,0.6989121215306934,0.7472440485125493,0.6505801945488374,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-04-24,0.6816399644599217,0.7229733456136924,0.640306583306151,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-04-25,0.6667508163200317,0.7084923216306762,0.6250093110093873,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-04-26,0.658646301793569,0.7050806835673209,0.6122119200198171,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-04-27,0.6583758184590096,0.7096762773478894,0.6070753595701298,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-04-28,0.6646185537376902,0.7196508302846341,0.6095862771907463,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-04-29,0.6746610814332742,0.7321903372544979,0.6171318256120505,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-04-30,0.6867880594514665,0.7451247311573432,0.6284513877455897,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-05-01,0.7016594460745158,0.7594405138705341,0.6438783782784975,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-05-02,0.7204121651142701,0.7774674006897964,0.6633569295387438,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-05-03,0.7437266420564876,0.8007969256574794,0.6866563584554959,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-05-04,0.7706595294300345,0.8281835349701399,0.7131355238899291,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-05-05,0.7978969278343695,0.8561581605476384,0.7396356951211006,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-05-06,0.8212839661975028,0.8808181657490918,0.7617497666459138,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-05-07,0.8383412257747453,0.8996718571789319,0.7770105943705587,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-05-08,0.8506404202671944,0.9136314571624911,0.7876493833718978,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-05-09,0.8629136717501932,0.92753515361566,0.7982921898847264,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-05-10,0.8793077494018998,0.9454931906406062,0.8131223081631934,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-05-11,0.9013328974284626,0.9682168872506148,0.8344489076063103,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-05-12,0.9267907466655981,0.9922080569240478,0.8613734364071485,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-05-13,0.9497329863318864,1.01269763695136,0.8867683357124128,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-05-14,0.964143247185375,1.0266548351827733,0.9016316591879767,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-05-15,0.9683719314018523,1.033695343327836,0.9030485194758686,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-05-16,0.9673196108379702,1.0361705534480414,0.898468668227899,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-05-17,0.9666840106996574,1.0373960710365522,0.8959719503627626,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-05-18,0.9674522608214652,1.0379214391641682,0.8969830824787621,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-05-19,0.9662058271702478,1.0346616147281416,0.8977500396123541,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-05-20,0.9588953799681293,1.0237480905702903,0.8940426693659683,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-05-21,0.9431386401289411,1.0029959739196443,0.8832813063382379,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-05-22,0.9211052688814085,0.9768026058993958,0.8654079318634212,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-05-23,0.8987135638558386,0.9525670697695434,0.8448600579421337,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-05-24,0.8821523718371095,0.9358750818645261,0.8284296618096929,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-05-25,0.873822780961486,0.9281734294592608,0.8194721324637112,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-05-26,0.8707662661992626,0.9269423123985449,0.8145902199999803,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-05-27,0.8686397950316078,0.9275873756780134,0.8096922143852022,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-05-28,0.8641438478138107,0.9255772211583198,0.8027104744693017,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-05-29,0.8575464061070908,0.9201922877253956,0.7949005244887859,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-05-30,0.8522000257086534,0.9155497995870537,0.788850251830253,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-05-31,0.8510899975251929,0.9156135047841527,0.786566490266233,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-06-01,0.8549383784427794,0.9214542150006393,0.7884225418849196,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-06-02,0.8611247319160056,0.9298003277506066,0.7924491360814045,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-06-03,0.8653284252093746,0.9359208609476967,0.7947359894710525,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-06-04,0.864370040773145,0.9365604165718229,0.7921796649744672,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-06-05,0.857997775553405,0.9312179851732396,0.7847775659335703,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-06-06,0.8494561026545807,0.9224921800493981,0.7764200252597633,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-06-07,0.8439028812731767,0.9158728153037252,0.7719329472426282,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-06-08,0.8454363786845824,0.9158283147776481,0.7750444425915167,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-06-09,0.8548633295945632,0.9231762436782092,0.7865504155109173,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-06-10,0.8685767563832455,0.9344376808588003,0.8027158319076907,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-06-11,0.8822125849730208,0.9468581075848612,0.8175670623611804,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-06-12,0.8946979948485188,0.9607536897904874,0.8286422999065501,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-06-13,0.9088193770842791,0.9788458735950383,0.8387928805735199,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-06-14,0.9297940794680931,1.0052514686897103,0.854336690246476,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-06-15,0.9590481259753009,1.0405425145795224,0.8775537373710793,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-06-16,0.9927268516058535,1.0790954033563096,0.9063582998553973,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-06-17,1.023699562756504,1.112062092890205,0.935337032622803,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-06-18,1.045962411934502,1.13366361310155,0.9582612107674537,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-06-19,1.0602399076121949,1.145658605672993,0.9748212095513967,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-06-20,1.071384275931958,1.1517908950504627,0.9909776568134535,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-06-21,1.084690192921869,1.156534295385807,1.012846090457931,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-06-22,1.1015370990777895,1.1705378803501916,1.0346045129787846,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-06-23,1.1179694263472824,1.186898541625438,1.0510748147828253,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-06-24,1.129693662737517,1.1983008914167799,1.0630819278185517,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-06-25,1.1351885884401656,1.2077830572733863,1.0625941196069448,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-06-26,1.1378294658226826,1.218071483052508,1.0575874485928574,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-06-27,1.1473286130366924,1.2366397417771653,1.0580174842962196,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-06-28,1.1731002936658306,1.2691647118341587,1.0770358754975025,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-06-29,1.217752157051293,1.3150446554264568,1.1204596586761293,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-06-30,1.273014563029107,1.367849496362477,1.178179629695737,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-07-01,1.3257173030617215,1.4172270576377557,1.2342075484856874,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-07-02,1.3683322319891194,1.4541568475874898,1.282507616390749,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-07-03,1.4012715387568146,1.4799849131218148,1.3225581643918145,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-07-04,1.4315260098803837,1.5115146872167324,1.351537332544035,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-07-05,1.4662626974319677,1.558813408465029,1.3737119863989065,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-07-06,1.5071544943847237,1.6113111488725596,1.4029978398968879,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-07-07,1.5488280130850827,1.656617356024486,1.4410386701456794,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-07-08,1.581108220605919,1.6894108214320147,1.4728056197798234,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-07-09,1.5950402998471316,1.704346830416897,1.4857337692773662,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-07-10,1.5884980002970606,1.6955575712339772,1.481438429360144,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-07-11,1.5668727611274949,1.6675279465057424,1.4662175757492473,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-07-12,1.5400540715680557,1.6368419640978111,1.4432661790383003,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-07-13,1.5117344756606823,1.6099929844500027,1.413475966871362,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-07-14,1.4786237389072376,1.5765990161875556,1.3806484616269197,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-07-15,1.4365574412649273,1.528522906946332,1.3445919755835227,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-07-16,1.3856154955628588,1.471795173043818,1.2994358180818997,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-07-17,1.3346260954918554,1.4209611648230613,1.2482910261606495,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-07-18,1.2931642340257132,1.38197569034539,1.2043527777060365,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-07-19,1.2657338814189751,1.356472979516908,1.1749947833210423,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-07-20,1.2505607774128933,1.3415562039312006,1.159565350894586,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-07-21,1.242666358655731,1.3320907783063953,1.1532419390050666,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-07-22,1.2371670443176936,1.324554813914447,1.1497792747209403,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-07-23,1.2309183324452273,1.3166052299009365,1.145231434989518,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-07-24,1.2240319999944267,1.3082807322698637,1.1397832677189896,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-07-25,1.2212034903209608,1.3060977664732867,1.1363092141686348,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-07-26,1.2261132628075178,1.3150556987701272,1.1371708268449083,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-07-27,1.2376149556513,1.329445294401938,1.1457846169006622,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-07-28,1.250633727173984,1.3403378934028984,1.1609295609450696,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-07-29,1.2586592600563802,1.34410008970093,1.1732184304118303,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-07-30,1.2595386035224352,1.3435607070522255,1.1755164999926448,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-07-31,1.2561096996444585,1.341177569556454,1.171041829732463,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-08-01,1.2536368163287168,1.342504264758426,1.1647693678990076,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-08-02,1.2561949559258696,1.356577132323809,1.1558127795279303,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-08-03,1.262155052894548,1.3791240978426558,1.1451860079464402,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-08-04,1.266585560012479,1.3936379759879034,1.1395331440370544,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-08-05,1.2648001821251913,1.3886445058793013,1.1409558583710813,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-08-06,1.2558866593455247,1.3679387545150288,1.1438345641760206,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-08-07,1.2445572129029026,1.3461080568568695,1.1430063689489356,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-08-08,1.2366389819551817,1.3320326239495355,1.141245339960828,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-08-09,1.2356643037875072,1.327637328888236,1.1436912786867786,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-08-10,1.2404735712883241,1.3335730505104473,1.147374092066201,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-08-11,1.2442799082649076,1.3440529191059485,1.1445068974238668,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-08-12,1.239940752201808,1.34525749626215,1.134624008141466,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-08-13,1.2244730561633355,1.3284759188144282,1.1204701935122428,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-08-14,1.2017053181892499,1.2997919937535694,1.1036186426249304,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-08-15,1.180139970209044,1.2733806238043097,1.0868993166137784,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-08-16,1.166117217761047,1.2560900416793106,1.0761443938427835,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-08-17,1.1609305103373635,1.2470585018253835,1.0748025188493435,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-08-18,1.1599522218739604,1.2423133170255434,1.0775911267223774,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-08-19,1.15561555788796,1.237877372957747,1.0733537428181732,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-08-20,1.1430339551224697,1.228995469181175,1.0570724410637644,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-08-21,1.1226580744007846,1.2126067744606206,1.0327093743409486,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-08-22,1.1005288878651822,1.19241255240837,1.0086452233219945,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-08-23,1.083932335866928,1.1759980797651335,0.9918665919687223,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-08-24,1.0763177780079909,1.1662381137881377,0.9863974422278441,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-08-25,1.075897812457006,1.160852450835837,0.9909431740781749,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-08-26,1.0762938139998037,1.1552584946848519,0.9973291333147555,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-08-27,1.0725302909602548,1.1474032302162045,0.997657351704305,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-08-28,1.0646671641010295,1.1370067926113312,0.9923275355907277,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-08-29,1.0569914228419244,1.1269060451994712,0.9870768004843775,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-08-30,1.055124562090474,1.1240040198877537,0.9862451042931941,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-08-31,1.0604638029628737,1.1313086304315725,0.9896189754941749,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-09-01,1.0701156829063054,1.1431323963793592,0.9970989694332516,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-09-02,1.0788236343865145,1.1509403603246962,1.0067069084483329,ESP
Spain,ESP,RENAVE,Confirmed cases,Cori_slidingWindow,2020-09-03,1.0823460648234364,1.1516449981144254,1.0130471315324474,ESP
